Data;LL;DEPREC;CONTAR;DEST;CONTAP;CGLE;DIVID;RECOMP;FC;Tempo
2006;2806,3;1188,4;-412,77;-142,8;-63,2;3375,93;-1790,8;-1765,1;3555,9;1
2007;2816,407;1423,98;-255,366;-148,916;-16,127;3819,978;-1952,587;-3094,3;5046,887;2
2008;5190,894;1290,741;-202,454;-395,3;710,858;6594,739;-2801,761;0;2801,761;3
2009;5988,344;1376,486;-398,46;190,429;-98,813;7057,986;-3560,489;-88,894;3649,383;4
2010;7619,243;1567,207;-427,722;-584,133;566,962;8741,557;-5030,751;16,715;5014,036;5
2011;8719,784;1454,741;-421,898;-289,785;1307,068;10769,91;-5475,448;-31,102;5506,55;6
2012;10420,55492;1939,924;-343,159;-196,186;560,184;12381,31792;-5607,7;-30,375;5638,075;7
2013;11354,07;2092,206;-1173,902;-422,654;1267,747;13117,467;-7209,41;-37,721;7247,131;8
2014;12362,019;2392,508;-502,574;-588,982;1577,371;15240,342;-12059,595;-74,158;12133,753;9
2015;12879,141;3074,62;-380,775;-681,475;5083,225;19974,736;-11490,221;-824,186;12314,407;10
2016;13083,397;3512,005;-578,436;-437,052;-565,125;15014,789;-10330,601;0,386;10330,215;11
2017;7850,504;3612,083;-265,636;-63,805;-105,784;11027,362;-8819,754;-38,614;8858,368;12
2018;11377,4;4023,1;-149,2;-1167,2;869,8;14953,9;-8814,1;7,3;8806,8;13
2019;12188,332;4675,228;-721,935;-844,064;1381,977;16679,538;-7871,338;-32,044;7903,382;14
2020;11731,909;5167,35;-848,788;-1303,432;3049,79;17796,829;-6850,271;-7,395;6857,666;15
